,q,m,Correlation
0,2,1,0.7214677036927603
1,2,2,0.6949837474740141
2,2,4,0.6170518453769439
3,2,12,0.7023867360624139
4,3,1,0.7108499111543851
5,3,2,0.6733479039561526
6,3,4,0.730720010271483
7,3,12,0.7185543527801151
8,5,1,0.8741999517484975
9,5,2,0.8729659759258037
10,5,4,0.8815239030647912
11,5,12,0.882487749173643
12,7,1,0.8456256304875183
13,7,2,0.8552683482564587
14,7,4,0.8688940216497857
15,7,12,0.8737836293366428
16,10,1,0.8632919841811787
17,10,2,0.8693950439703815
18,10,4,0.8548612900826376
19,10,12,0.8198390272966113
20,15,1,0.889841594346753
21,15,2,0.8940674664285725
22,15,4,0.8916630698504261
23,15,12,0.8913571487248241
24,25,1,0.9509589824675648
25,25,2,0.9592785161944902
26,25,4,0.9476616304252394
27,25,12,0.9535168828470916
28,50,1,0.9709918766185268
29,50,2,0.9729413522136822
30,50,4,0.969920422507741
31,50,12,0.9700283186751305
