,MarketCap,MarketCapGroup
MSFT,3286892281856,1
AAPL,2981408276480,1
NVDA,2877613932544,1
AMZN,2041427525632,1
GOOG,1888894713856,1
GOOGL,1887124062208,1
META,1523608584192,1
BRK-B,1121537753088,1
AVGO,979304251392,1
TSLA,930052177920,1
WMT,789287796736,1
JPM,708654006272,1
V,679382745088,1
LLY,671210274816,1
MA,519218593792,1
NFLX,489402400768,1
XOM,460441944064,1
COST,447658426368,1
ORCL,422751698944,1
JNJ,376189059072,1
PG,374962257920,2
HD,365447446528,2
UNH,354446802944,2
ABBV,326810206208,2
BAC,316036939776,2
KO,311134158848,2
TMUS,284997943296,2
CRM,270648410112,2
PM,268554174464,2
CVX,241868324864,2
WFC,239589015552,2
CSCO,239147335680,2
IBM,237326172160,2
ABT,234426056704,2
GE,230526861312,2
MCD,226212970496,2
LIN,214730178560,2
NOW,202458710016,2
T,200110358528,2
AXP,199247511552,2
MS,196416897024,3
MRK,195320479744,3
ISRG,195040313344,3
ACN,194775465984,3
DIS,190170464256,3
VZ,185156632576,3
INTU,183619108864,3
PEP,182285074432,3
GS,174804238336,3
RTX,174127710208,3
BKNG,169972957184,3
AMD,168406712320,3
ADBE,164969234432,3
QCOM,160730726400,3
TMO,155848409088,3
CAT,154404405248,3
SCHW,154062651392,3
TXN,151810211840,3
AMGN,146503368704,3
BA,146141446144,3
BLK,145911775232,4
NEE,142045478912,4
DHR,140661358592,4
HON,139258724352,4
C,134427705344,4
DE,132937228288,4
UNP,130046623744,4
PFE,129995980800,4
CMCSA,129130012672,4
LOW,126381613056,4
GILD,121076244480,4
COP,116132970496,4
LMT,112023945216,4
MDT,107977302016,4
AMT,102798417920,4
MO,101985026048,4
SO,100777394176,4
BMY,95903145984,4
DUK,94508851200,4
SBUX,93650731008,4
INTC,91863711744,5
NKE,88072323072,5
MDLZ,87452139520,5
CVS,85977079808,5
UPS,82074664960,5
MMM,76023447552,5
CL,74307330048,5
COF,73453453312,5
GD,73341894656,5
PYPL,68534403072,5
USB,65694334976,5
EMR,63314694144,5
SPG,61440028672,5
BK,61416431616,5
CHTR,57300795392,5
MET,52837863424,5
FDX,52805226496,5
AIG,47789281280,5
GM,45389344768,5
TGT,44463669248,5
